,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bethel,90,US,1549258500,100,60.79,-161.76,28.04,9.17
2,Labuhan,80,ID,1549260373,84,-2.54,115.51,81.31,3.04
3,Ponta do Sol,36,BR,1549260373,85,-20.63,-46,68.48,3.04
4,Mataura,88,NZ,1549260373,53,-46.19,168.86,71.18,21.83
5,Bluff,92,AU,1549260374,51,-23.58,149.07,85.27,15.01
6,Mar del Plata,0,AR,1549260374,94,-46.43,-67.52,54.08,2.15
7,Bubaque,0,GW,1549260374,100,11.28,-15.83,75.28,11.43
8,Iwanai,44,JP,1549260375,100,42.97,140.51,25.37,30.67
9,Ushuaia,0,AR,1549256400,55,-54.81,-68.31,60.8,13.87
10,Beringovskiy,64,RU,1549260375,86,63.05,179.32,29.11,17.69
11,Yellowknife,40,CA,1549256400,65,62.45,-114.38,-36.41,5.82
12,Richards Bay,88,ZA,1549260376,100,-28.77,32.06,70.69,8.08
13,Yumen,0,CN,1549260376,77,40.29,97.04,24.07,16.69
14,Chuy,24,UY,1549260140,87,-33.69,-53.46,63.53,6.51
15,Mareeba,75,AU,1549258920,83,-16.99,145.42,78.8,17.22
16,Luderitz,0,NA,1549260377,80,-26.65,15.16,59.71,15.12
17,Bambous Virieux,40,MU,1549256400,79,-20.34,57.76,86,11.41
18,Lasa,0,CY,1549258200,57,34.92,32.53,57.2,2.24
19,Qaanaaq,0,GL,1549260378,82,77.48,-69.36,-19.23,2.59
20,Luganville,64,VU,1549260378,100,-15.51,167.18,81.31,1.36
21,Hilo,90,US,1549255980,84,19.71,-155.08,71.96,11.21
24,Rikitea,12,PF,1549260379,99,-23.12,-134.97,81.85,7.74
25,Hermanus,92,ZA,1549260379,98,-34.42,19.24,63.31,3.49
26,Dingle,0,PH,1549260379,53,11,122.67,86.98,16.69
27,Arlit,0,NE,1549260380,57,18.74,7.39,51.79,4.38
28,Upernavik,12,GL,1549260380,100,72.79,-56.15,1.12,1.36
29,Pierre,90,US,1549255980,71,44.37,-100.35,1.94,19.46
30,Martapura,40,ID,1549256400,74,-3.41,114.85,84.2,5.82
31,Busselton,0,AU,1549260381,76,-33.64,115.35,76.85,8.63
32,Albany,90,US,1549259640,67,42.65,-73.75,42.08,8.05
33,Vostok,32,RU,1549260381,47,46.45,135.83,-3.25,9.53
34,Cherskiy,0,RU,1549260382,56,68.75,161.3,-19.41,6.06
35,Nanortalik,0,GL,1549260382,100,60.14,-45.24,20.02,6.51
37,Cape Town,20,ZA,1549256400,88,-33.93,18.42,64.4,10.29
38,Kapaa,75,US,1549256160,71,22.08,-159.32,75.02,17.22
39,Amahai,24,ID,1549260383,96,-3.31,129,86.35,6.62
40,Mahebourg,40,MU,1549256400,79,-20.41,57.7,86,11.41
41,Pochutla,0,MX,1549260383,100,15.74,-96.47,78.38,6.4
42,Lebu,0,ET,1549256400,33,8.96,38.73,62.6,8.05
43,Punta Arenas,0,CL,1549256400,67,-53.16,-70.91,57.2,12.75
44,Kandrian,68,PG,1549260384,74,-6.21,149.55,85.45,8.63
45,Parnamirim,40,BR,1549256400,88,-5.92,-35.27,77,5.82
46,Sept-Iles,90,CA,1549256400,65,50.2,-66.38,6.8,8.05
47,Changde,56,CN,1549260385,100,29.04,111.68,45.13,4.5
48,Saint-Philippe,90,CA,1549258500,92,45.36,-73.48,24.08,6.93
49,Kodiak,90,US,1549258500,82,39.95,-94.76,55.4,9.17
50,Kavieng,88,PG,1549260386,100,-2.57,150.8,80.63,7.52
51,Khatanga,64,RU,1549260386,74,71.98,102.47,-10.59,8.08
52,Det Udom,0,TH,1549256400,44,14.9,105.08,93.2,5.82
53,Butaritari,56,KI,1549260387,100,3.07,172.79,84.05,19.26
54,Longyearbyen,75,NO,1549255800,68,78.22,15.63,26.6,8.05
55,Pangnirtung,0,CA,1549260387,42,66.15,-65.72,-6,5.5
57,Souillac,0,FR,1549258200,92,45.6,-0.6,30.2,3.36
59,Mayor Pablo Lagerenza,32,PY,1549260388,79,-19.93,-60.77,73.88,13.44
60,Adrar,0,DZ,1549256400,41,27.87,-0.29,39.2,6.93
61,Tibagi,36,BR,1549260389,88,-24.52,-50.41,65.65,10.42
62,Andrews,1,US,1549259580,45,32.32,-102.55,64.4,10.29
63,Jamestown,20,AU,1549260273,32,-33.21,138.6,85.67,13
64,Lannion,92,FR,1549258200,87,48.73,-3.46,44.6,18.34
65,Pangani,90,KE,1549256160,84,-2.37,40.57,78.8,11.99
66,Soyo,75,AO,1549256400,100,-6.13,12.37,77,3.71
67,Ribeira Grande,80,PT,1549260390,95,38.52,-28.7,63.13,22.28
68,Stonewall,90,CA,1549256400,70,50.13,-97.33,-5.81,24.16
69,Ilulissat,0,GL,1549255800,37,69.22,-51.1,17.6,8.05
70,Alyangula,68,AU,1549256400,63,-13.85,136.42,91.4,14.99
71,Touros,40,BR,1549256400,94,-5.2,-35.46,77,3.36
72,Kruisfontein,88,ZA,1549260392,96,-34,24.73,69.07,13.11
73,Kirakira,80,SB,1549260392,100,-10.46,161.92,82.75,14
74,Avera,1,US,1549258500,100,33.19,-82.53,51.08,3.36
75,Sur,92,OM,1549260393,100,22.57,59.53,67.81,3.04
76,Mnichovo Hradiste,75,CZ,1549259160,86,50.53,14.97,30.2,9.17
77,Jumla,0,NP,1549260393,58,29.28,82.18,37.07,0.47
78,Cayenne,20,GF,1549258200,94,4.94,-52.33,73.4,2.24
80,Thompson,5,CA,1549256400,67,55.74,-97.86,-22.01,5.82
81,Jieshi,68,CN,1549260394,85,22.82,115.83,68.89,17.02
82,Kommunar,90,RU,1549258200,86,59.62,30.39,33.8,6.71
83,Vaini,0,IN,1549256400,47,15.34,74.49,78.8,11.41
84,Lithakia,40,GR,1549259400,54,37.72,20.83,62.6,23.85
85,Victoria,75,BN,1549258200,79,5.28,115.24,86,3.36
86,Saint George,75,GR,1549255800,100,39.45,22.34,46.4,2.93
87,Tuatapere,48,NZ,1549260396,77,-46.13,167.69,64.48,20.71
88,Paamiut,0,GL,1549260397,100,61.99,-49.67,26.27,20.27
89,Shenzhen,20,CN,1549258200,69,22.54,114.05,75.2,6.93
91,Yerbogachen,8,RU,1549260397,65,61.28,108.01,-35.34,3.6
92,Pangody,44,RU,1549260398,74,65.85,74.49,-16.3,12.1
93,Usak,0,TR,1549259400,92,38.67,29.41,30.2,2.24
94,Whitehorse,90,CA,1549256400,69,60.72,-135.06,-11.21,17.22
95,Hastings,0,NZ,1549260180,85,-39.64,176.84,71.45,12.1
96,Dikson,8,RU,1549260399,73,73.51,80.55,-9.96,8.97
97,Karaton,40,ID,1549258200,74,-6.34,106.1,84.2,16.11
98,Verkhoturye,48,RU,1549260399,62,58.86,60.81,-12.97,8.52
99,Chik,0,RU,1549258200,66,54.99,82.44,-29.21,6.71
100,New Norfolk,20,AU,1549258200,53,-42.78,147.06,71.6,17.22
101,Poya,36,NC,1549260400,98,-21.35,165.16,79.6,13.78
102,Port Hardy,90,CA,1549256400,58,50.7,-127.42,24.8,14.99
